Facility_Name,Requester Type,Type,Street Address,City,State,Zip,Latitude,Longitude
Iowa Medical & Classification Center,Corrections,Corrections,2700 Coral Ridge Ave.,Coralville,IA,52241,41.71,-91.61
Iowa Correctional Institute For Women,Corrections,Corrections,420 Mill Street,Mitchellville,IA,50169,41.66314501,-93.36534561
Muscatine Co Jail,Corrections,Corrections,400 Walnut St.,Muscatine,IA,52761,41.42475734,-91.0446241
Scott Co Correctional Hlth Svcs,Corrections,Corrections,400 W. 4th St.,Davenport,IA,52801,41.5243901,-90.57947302
Scott Co Juvenile Detention Center,Corrections,Corrections,518 W. 4th St.,Davenport,IA,52801,41.52389152,-90.58100932
Des Moines Co Health Dept,STD,Public,522 N. 3rd St.,Burlington,IA,52601,40.81,-91.1
Linn County Public Health,STD,Public,1020 6th St. SE,Cedar Rapids,IA,52401,41.97,-91.66
Scott County Health Dept,STD,Public,"600 W. 4th St., 4th Floor",Davenport,IA,52801,41.52,-90.58
Siouxland District Health Dept,STD,Public,1014 Nebraska St.,Sioux City,IA,51105,42.5,-96.4
Black Hawk County Health Dept,STD,Public,1407 Independence Ave. 5th Fl.,Waterloo,IA,50703,42.5,-92.31
Cerro Gordo Public Health Dept,STD,Public,"2570 4th St. SW, Suite 1",Mason City,IA,50401,43.15,-93.23902577
Polk County Health Dept,STD,Public,1907 Carpenter ,Des Moines,IA,50314,41.60343578,-93.64323459
Crawford Co Pblc Hlth Dept- Family Plan,Family Planning,Public,105 N. Main,Denison,IA,51442,42.01829312,-95.35557579
Des Moines Co Correctional Center,Corrections,Public,3630 Bauer Drive,Burlington,IA,52601,40.79841035,-91.14879073
Emma Goldman Clinic For Women,Family Planning,Public,227 N. Dubuque St.,Iowa City,IA,52245,41.66477407,-91.53342716
Emmet County Public Health,STD,Public,508 S. 1st St.,Estherville,IA,50501,43.39762979,-94.83900519
Free Medical Clinic,STD,Public,2440 Towncrest Dr.,Iowa City,IA,52240,41.64891248,-91.4995905
Greenbelt Home Care - Hardin County Public Health,STD,Public,1707 21st St.,Eldora,IA,50627,42.35630092,-93.10747307
Harrison Co Public Health Dept,Family Planning,Public,122 W. 8th St.,Logan,IA,51546,41.64244505,-95.79146496
Hillcrest Family Services,Other,Public,2005 Asbury Road,Dubuque,IA,52001,42.50541416,-90.7030466
Johnson Co Health And Human Services,Other,Public,855 S. Dubuque St.. Ste. 113,Iowa City,IA,52240,41.65167569,-91.53415099
North Iowa Community Action,Family Planning,Public,100 1st. NW Suite 200,Mason City,IA,50401,43.15318933,-93.20321048
Planned Parenthood Ames Center,Family Planning,Public,2530 Chamberlain,Ames,IA,50014,42.02130474,-93.65149793
Planned Parenthood West,Family Planning,Public,3303 109th Street,Urbandale,IA,50322,41.62506991,-93.7662268
Planned Parenthood Iowa City,Family Planning,Public,850 Orchard St.,Iowa City,IA,52246,41.64947033,-91.54104886
Planned Parenthood Cedar Rapids,Family Planning,Public,3425 1st Ave. SE Suite 100,Cedar Rapids,IA,52402,42.01330267,-91.63408612
Planned Parenthood Sioux City,Family Planning,Public,4409 Stone Ave.,Sioux City,IA,51106,42.47996255,-96.3501114
Primary Health Care East Clinic,Family Planning,Public,3509 E. 29th St.,Des Moines,IA,50317,41.59495907,-93.59976383
Primary Health Care - The Project,Other,Public,1200 University Suite 120 ,Des Moines,IA,50314,41.60028151,-93.63311477
Primary Health Care,Family Planning,Public,101 Iowa Ave. W Suite 102,Marshalltown,IA,50158,42.00803687,-92.91534955
Promise Community Health Center,Community Health,Public,33 4th St. NW,Sioux Center,IA,51250,43.08088062,-96.17660525
River Hills Womens Hlth & Fam Plan Cl,Family Planning,Public,201 S. Market,Ottumwa,IA,52501,41.01767615,-92.4124573
Siouxland Community Health Center,Community Health,Public,1021 Nebraska St.,Sioux City,IA,51105,42.50144519,-96.40455836
Susan Knapp Health Centr,Family Planning,Public,2304 University Ave.,Des Moines,IA,50311,41.60046988,-93.64856316
Trinity Muscatine Public Health,Family Planning,Public,1609 Cedar St. ,Muscatine,IA,52761,41.43328303,-91.05622917
Unitypoint Hlth-Allen Womens Hlth,Family Planning,Public,233 Vold Dr.,Waterloo,IA,50703,42.52913834,-92.34107466
Webster County Public Health,STD,Public,"723 1st Ave. S., Suite 220",Fort Dodge,IA,50501,42.50404136,-94.18758113
Winneshiek Co Public Hlth - Nurse Serv,STD,Public,305 Montgomery Ste 3,Decorah,IA,52101,43.30200572,-91.77700422
Womens Health Services,Family Planning,Public,2635 Lincoln Way Suite A,Clinton,IA,51632,41.81478619,-90.24976829
