Site_Name,County
Black Hawk County Public Health,Black Hawk
Black Hawk County Public Health,Bremer
Cerro Gordo Public Health,Cerro Gordo
Cerro Gordo Public Health,Hancock
Cerro Gordo Public Health,Wright
Cerro Gordo Public Health,Hamilton
Hillcrest Family Services,Dubuque
Johnson County Public Health,Johnson
Johnson County Public Health,Iowa
Johnson County Public Health,Mahaska
Johnson County Public Health,Washington
Johnson County Public Health,Louisa
Linn County Public Health,Linn
Linn County Public Health,Jones
Linn County Public Health,Benton
Polk County Health Department,Polk
Polk County Health Department,Dallas
Polk County Health Department,Marion
Pottawattamie County Public Health,Pottawattamie
Pottawattamie County Public Health,Mills
Pottawattamie County Public Health,Montgomery
Pottawattamie County Public Health,Fremont
Pottawattamie County Public Health,Union
Pottawattamie County Public Health,Clarke
Pottawattamie County Public Health,Decatur
Primary Health Care,Boone
Primary Health Care,Story
Primary Health Care,Marshall
Primary Health Care,Jasper
Primary Health Care,Warren
Primary Health Care,Polk
Scott County Health Department,Scott
Siouxland Community Health Center,Woodbury
Siouxland Community Health Center,Buena Vista
Siouxland Community Health Center,Calhoun
Siouxland Community Health Center,Cherokee
Siouxland Community Health Center,Clay
Siouxland Community Health Center,Crawford
Siouxland Community Health Center,Ida
Siouxland Community Health Center,Monona
Siouxland Community Health Center,Plymouth
Siouxland Community Health Center,Sac
Siouxland Community Health Center,Sioux
Webster County Health Department,Webster
Dubuque Visiting Nurse Association,Howard
Dubuque Visiting Nurse Association,Chickasaw
Dubuque Visiting Nurse Association,Winneshiek
Dubuque Visiting Nurse Association,Fayette
Dubuque Visiting Nurse Association,Allamakee
Dubuque Visiting Nurse Association,Clayton
Dubuque Visiting Nurse Association,Delaware
River Hills Community Health Center,Appanoose
River Hills Community Health Center,Davis
River Hills Community Health Center,Des Moines
River Hills Community Health Center,Henry
River Hills Community Health Center,Jefferson
River Hills Community Health Center,Lee
River Hills Community Health Center,Lucas
River Hills Community Health Center,Monroe
River Hills Community Health Center,Van Buren
River Hills Community Health Center,Wapello
River Hills Community Health Center,Wayne
Nebraska AIDS Project,Harrison
Nebraska AIDS Project,Shelby
Nebraska AIDS Project,Audubon
Nebraska AIDS Project,Guthrie
Nebraska AIDS Project,Cass
Nebraska AIDS Project,Adair
Nebraska AIDS Project,Adams
Nebraska AIDS Project,Page
Nebraska AIDS Project,Taylor
Nebraska AIDS Project,Ringgold
Project of the Quad Cities,Cedar
Project of the Quad Cities,Clinton
Project of the Quad Cities,Muscatine
