"","state_desc","county","below_poverty_value","crowding_value","age_65_plus_value","minority_status_value","no_broadband_value","unemployment_value","housing_cost_burden_value","single_parent_value","no_diploma_value","below_poverty_tertile","crowding_tertile","age_65_plus_tertile","minority_status_tertile","no_broadband_tertile","unemployment_tertile","housing_cost_burden_tertile","single_parent_tertile","no_diploma_tertile"
"1","Iowa","Adair",21.8,0.4,21.6,5.2,23.8,4.7,17.1,4.2,5.3,3,1,3,1,3,3,1,1,1
"2","Iowa","Adams",18,0.6,22.5,4.7,17.1,3.9,17.3,4.9,5.5,2,1,3,1,2,2,2,2,1
"3","Iowa","Allamakee",19.2,0.9,22.5,10.4,21.9,3.5,18.6,2.8,9.6,2,2,3,3,3,2,2,1,3
"4","Iowa","Appanoose",31.2,2.3,22.5,5.7,22.3,6.2,22.4,3.4,9.1,3,3,3,1,3,3,3,1,3
"5","Iowa","Audubon",18.7,0.7,24.4,4.3,19.7,1.9,14.3,5.3,8.2,2,1,3,1,3,1,1,2,3
"6","Iowa","Benton",13.4,0.6,18.2,4.7,13.6,2.6,17,4.9,5.8,1,1,1,1,1,1,1,2,1
"7","Iowa","Black Hawk",23.7,2,16.5,20.3,15.1,5.2,25.7,5.8,7.9,3,3,1,3,1,3,3,3,2
"8","Iowa","Boone",14.2,0.4,18.2,6,16.1,2.1,16.9,3.9,5.9,1,1,1,1,1,1,1,1,1
"9","Iowa","Bremer",13.6,0.8,19.2,5.7,12.2,3.4,15.3,5,3.5,1,1,2,1,1,2,1,2,1
"10","Iowa","Buchanan",13.7,1.5,17.7,4.4,15.5,2.5,18.5,4.7,6.2,1,3,1,1,1,1,2,2,1
"11","Iowa","Buena Vista",22.7,4.2,15,43.3,14.5,5.9,16.7,4,20.6,3,3,1,3,1,3,1,1,3
"12","Iowa","Butler",18.2,1,22.3,4.1,18.7,4.7,17.8,5,5.9,2,2,3,1,2,3,2,2,1
"13","Iowa","Calhoun",19.7,1.4,22.7,6.6,15.5,2.4,14.2,5.5,6,2,2,3,2,1,1,1,3,1
"14","Iowa","Carroll",17.5,0.5,20,6.5,17.6,2.3,19.2,5.5,5.8,2,1,2,2,2,1,2,3,1
"15","Iowa","Cass",23.2,0.9,22.5,5.5,19.1,1.7,23.1,4.6,10.7,3,2,3,1,3,1,3,2,3
"16","Iowa","Cedar",13.4,1.2,19.3,5.2,17.2,3.4,16.7,4.7,4.4,1,2,2,1,2,2,1,2,1
"17","Iowa","Cerro Gordo",18.3,1.3,21.4,10.5,15.9,3.4,20,4.9,6.5,2,2,3,3,1,2,3,2,2
"18","Iowa","Cherokee",22.7,0.3,23.5,9.4,18.9,2.8,13.7,5,6.5,3,1,3,2,2,2,1,2,2
"19","Iowa","Chickasaw",15.3,0.5,20.5,4.9,16.4,2.1,16.6,3.5,6.7,1,1,2,1,2,1,1,1,2
"20","Iowa","Clarke",27.8,5.8,18.3,19.4,21.3,3.3,24,5.2,15.5,3,3,1,3,3,2,3,2,3
"21","Iowa","Clay",19.7,0.3,20.8,7.3,15,4.7,22.4,6.9,4.6,2,1,2,2,1,3,3,3,1
"22","Iowa","Clayton",21.6,0.9,23.4,4.4,20.6,2.4,20.8,3.9,9.1,3,2,3,1,3,1,3,1,3
"23","Iowa","Clinton",21.9,1.1,19.5,9.8,17.5,4.8,22.3,6.6,8,3,2,2,2,2,3,3,3,2
