ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
19,Iowa,IA,19001,Adair County,19001,"Adair County, Iowa",569.2704108,7479,0,3606,44,3224,96,1554,261,148,58,596,101,227,63,355,134,1659,10,1653,37,1071,126,149,62,0,60,433,40,92,39,74,35,16,19,146,45,162,11,21.3,3.6,3.9,1.5,18.5,3.1,4.3,1.2,4.9,1.8,22.2,0.1,22.1,0.5,14.6,1.7,4.6,1.9,0,0.9,5.8,0.5,2.6,1.1,2.1,1,0.5,0.6,4.5,1.4,2.2,0.1,0.7245,0.6633,0.5306,0.0816,0.5408,2.5408,0.551,0.6939,0.3367,0.6735,0.4388,0,2.1429,0.2755,0.2347,0.2347,0.2347,0.2857,0.2551,0.0816,0.4082,0.5714,1.602,0.1735,6.5204,0.2755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5754,657,120,48,35,196,0,9,11,0,15,12,17,119,42,49,45,20.4,3.6,0.6,0.5,2.6,0,0.1,0.1,0,0.3,0.2,0.2,1.6,0.6,0.7,0.6
19,Iowa,IA,19003,Adams County,19003,"Adams County, Iowa",423.4327564,3680,0,1893,17,1523,74,624,90,78,46,301,61,158,57,178,67,846,13,777,13,533,85,89,35,4,39,210,19,19,14,129,37,6,7,67,26,109,11,17.3,2.5,4.2,2.5,19.8,3.9,6,2.2,4.9,1.8,23,0.3,21.1,0.4,14.7,2.3,5.9,2.3,0.1,1.1,5.7,0.5,1,0.7,6.8,1.9,0.4,0.5,4.4,1.6,3,0.3,0.3571,0.7551,0.6633,0.3061,0.5408,2.6224,0.5918,0.8061,0.1531,0.6837,0.7551,0.051,2.449,0.4796,0.2041,0.2041,0.2041,0.0612,0.8776,0.0408,0.3776,0.6837,2.0409,0.3061,7.3164,0.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2512,243,50,11,10,72,0,0,10,16,21,0,10,110,28,1,3,16,3.2,0.3,0.3,2,0,0,0.7,0.4,0.6,0,0.7,3,0.8,0,0.1
19,Iowa,IA,19005,Allamakee County,19005,"Allamakee County, Iowa",639.0708393,14046,0,7696,29,5970,199,2694,385,225,69,1052,162,808,137,888,246,3190,28,3319,7,1609,203,180,62,429,129,1537,55,205,71,1166,194,34,29,237,81,283,10,19.6,2.8,3.2,1,17.6,2.6,8.3,1.4,6.4,1.8,22.7,0.2,23.6,0.1,11.7,1.5,3,1,3.3,1,10.9,0.4,2.7,0.9,15.2,2.5,0.6,0.5,4,1.4,2,0.1,0.5816,0.4184,0.3367,0.7347,0.7755,2.8469,0.6837,0.7653,0.6837,0.2653,0.051,0.9388,2.7041,0.6939,0.7143,0.7143,0.7143,0.2959,1,0.1633,0.2551,0.4592,2.1735,0.3878,8.4388,0.6633,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,11185,998,149,241,79,1047,0,84,55,36,24,0,16,129,77,0,16,16.7,2.6,1.7,0.6,7.5,0,0.6,0.4,0.3,0.2,0,0.2,0.9,0.5,0,0.2
19,Iowa,IA,19007,Appanoose County,19007,"Appanoose County, Iowa",497.298566,12279,0,6321,31,5028,191,3661,485,326,132,1189,192,702,153,977,261,2881,38,2695,96,2155,243,184,65,20,65,765,59,372,127,475,105,51,34,325,101,171,14,30.2,4,6.1,2.5,23.6,3.7,8.1,1.7,8,2.1,23.5,0.3,21.9,0.8,17.7,2,3.6,1.3,0.2,0.6,6.2,0.5,5.9,2,7.5,1.7,1,0.7,6.5,2,1.4,0.1,1,0.9796,0.8878,0.7143,0.9286,4.5103,1,0.898,0.2653,0.9796,0.1939,0.1327,2.4695,0.5204,0.2857,0.2857,0.2857,0.6837,0.9082,0.4184,0.7347,0.1224,2.8674,0.7143,10.1329,0.8673,1,1,0,0,1,3,0,0,1,0,0,1,0,0,0,1,0,0,0,1,5,11536,908,159,50,64,291,91,34,31,16,25,0,16,374,100,0,16,18.1,3,0.4,0.5,2.4,0.7,0.3,0.3,0.1,0.2,0,0.2,3,0.8,0,0.2
19,Iowa,IA,19009,Audubon County,19009,"Audubon County, Iowa",442.9611462,5651,0,2805,23,2535,78,1123,232,19,18,415,99,384,88,228,73,1397,20,1247,39,749,123,131,57,10,57,292,33,12,20,22,13,10,11,179,70,120,8,20.4,4.2,0.7,0.6,16.4,3.9,9.5,2.2,4.1,1.3,24.7,0.3,22.1,0.7,13.6,2.2,5.2,2.2,0.2,1.1,5.2,0.6,0.4,0.7,0.8,0.5,0.4,0.4,7.1,2.7,2.1,0.1,0.6633,0,0.2143,0.8571,0.3061,2.0408,0.3061,0.9694,0.3367,0.5,0.6327,0.1327,2.5715,0.5714,0.1429,0.1429,0.1429,0.0306,0.0306,0.0408,0.8061,0.5,1.4081,0.1122,6.1633,0.1939,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4162,447,74,17,21,124,0,2,5,4,7,0,15,123,32,22,29,17.6,2.8,0.3,0.4,2.2,0,0,0.1,0.1,0.1,0,0.4,2.2,0.6,0.4,0.5
19,Iowa,IA,19011,Benton County,19011,"Benton County, Iowa",716.1019462,25652,0,11074,57,10114,222,3492,451,317,98,1673,230,996,220,687,164,4835,24,5917,0,2960,275,472,132,62,75,1255,97,276,117,309,116,68,28,328,113,352,22,13.9,1.8,2.3,0.7,16.5,2.2,5.6,1.2,2.7,0.6,18.8,0.1,23.1,0,11.7,1.1,4.7,1.3,0.3,0.3,4.9,0.4,2.5,1.1,2.8,1,0.7,0.3,3.2,1.1,1.4,0.1,0.1327,0.1939,0.2347,0.2041,0.0408,0.8062,0.0204,0.2143,0.5714,0.2653,0.4694,0.2653,1.7857,0.1429,0.0918,0.0918,0.0918,0.2653,0.398,0.2245,0.1224,0.1224,1.1326,0.0204,3.8163,0.0102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17613,1251,220,94,57,442,0,61,26,19,27,0,19,578,117,61,55,12.4,2.1,0.4,0.2,1.7,0,0.2,0.1,0.1,0.1,0,0.1,2.3,0.5,0.2,0.2
19,Iowa,IA,19013,Black Hawk County,19013,"Black Hawk County, Iowa",565.7564977,131041,0,58599,81,53691,531,30522,1521,3674,522,14438,852,5889,553,5388,658,22443,155,28385,0,17954,1037,3126,396,2172,398,26976,326,7225,644,1719,339,1140,246,3913,398,4589,97,24.2,1.2,5.2,0.7,26.9,1.6,7.1,0.7,4.2,0.5,17.1,0.1,21.7,0,13.8,0.8,5.8,0.7,1.8,0.3,20.6,0.2,12.4,1.1,2.9,0.6,2.1,0.5,7.3,0.7,3.5,0.1,0.8878,0.9286,0.9694,0.5612,0.3367,3.6837,0.8878,0.102,0.2143,0.5408,0.7347,0.7755,2.3673,0.449,0.8776,0.8776,0.8776,0.9388,0.4184,0.8571,0.8367,0.7347,3.7857,0.9694,10.7143,0.9184,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,146581,7013,572,12602,379,6217,0,3402,261,138,74,588,62,3864,605,165,126,13.1,1.1,9.6,0.3,4.7,0,2.6,0.2,0.1,0.1,0.4,0.1,2.9,0.5,0.1,0.1
19,Iowa,IA,19015,Boone County,19015,"Boone County, Iowa",570.4862943,26700,0,11950,33,10893,213,3720,558,190,77,1989,294,918,210,1192,272,5134,65,5575,12,3131,375,512,154,20,77,1690,114,948,250,298,83,66,55,580,197,550,25,14.2,2.1,1.3,0.5,18.3,2.7,4.8,1.1,4.5,1,19.2,0.2,20.9,0.1,11.9,1.4,4.7,1.4,0.1,0.3,6.3,0.4,7.9,2.1,2.5,0.7,0.6,0.5,5.3,1.8,2.1,0.1,0.1531,0.0204,0.4796,0.1122,0.449,1.2143,0.102,0.2857,0.1224,0.3061,0.4694,0.051,1.2346,0.0102,0.3163,0.3163,0.3163,0.8469,0.3571,0.1633,0.5714,0.5,2.4387,0.5204,5.2039,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20998,1382,225,347,119,747,0,40,58,16,16,0,19,540,173,0,19,12.7,2.1,1.3,0.4,2.8,0,0.1,0.2,0.1,0.1,0,0.1,2,0.6,0,0.1
19,Iowa,IA,19017,Bremer County,19017,"Bremer County, Iowa",435.4791408,25012,0,10493,34,9684,185,2986,478,422,116,1406,209,643,147,527,160,4862,44,5637,66,2732,288,395,102,86,96,1636,131,524,130,144,56,86,43,193,65,1535,25,12.7,2,3.2,0.9,14.5,2.1,3.9,0.9,2.1,0.6,19.4,0.2,22.5,0.3,11.1,1.2,4.1,1.1,0.4,0.4,6.5,0.5,5,1.2,1.4,0.5,0.9,0.4,2,0.7,6.1,0.1,0.0714,0.4184,0.0204,0.051,0,0.5612,0.0102,0.2959,0.4286,0.1633,0.3061,0.3878,1.5817,0.0816,0.3469,0.3469,0.3469,0.6122,0.102,0.3673,0,0.8776,1.9591,0.2653,4.4489,0.0408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22495,907,135,290,84,464,0,220,67,29,25,5,8,487,130,141,132,9.4,1.4,1.2,0.3,1.9,0,0.9,0.3,0.1,0.1,0,0.1,1.9,0.5,0.6,0.5
19,Iowa,IA,19019,Buchanan County,19019,"Buchanan County, Iowa",571.0783384,20631,0,8911,28,8020,159,2894,336,324,128,1481,211,882,191,1312,456,3733,72,5307,14,2563,262,415,89,34,81,965,52,201,80,511,125,105,51,498,139,209,10,14.2,1.6,3,1.2,18.5,2.6,6.4,1.4,6.4,2.2,18.1,0.3,25.7,0.1,12.5,1.3,5.2,1.1,0.2,0.4,4.7,0.3,2.2,0.9,5.7,1.4,1.3,0.6,6.2,1.7,1,0,0.1531,0.3673,0.5306,0.4082,0.7755,2.2347,0.3878,0.1735,0.9388,0.3776,0.6327,0.1327,2.2553,0.3571,0.0612,0.0612,0.0612,0.1939,0.8469,0.602,0.6735,0.0102,2.3265,0.4592,6.8777,0.3469,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,15273,1159,141,160,135,382,0,14,15,19,16,19,21,371,156,0,19,14.5,1.8,0.8,0.7,1.9,0,0.1,0.1,0.1,0.1,0.1,0.1,1.8,0.8,0,0.1
