Type,Name,Address,City/Zip,Latitude,Longitude
Part B Subrecipient,Cedar AIDS Support System (CASS),900 Tower Park Drive,"Waterloo, IA 50701",42.457138,-92.373695
Part B Subrecipient,Dubuque Visiting Nurse Association (DVNA),660 Iowa St. ,"Dubuque, IA 52001",42.500177,-90.664869
Part B Subrecipient,Linn County Community Services/Ryan White (LCCS),1240 26th Avenue Court SW,"Cedar Rapids, IA 52404",41.954362,-91.688304
Part B Subrecipient,Nebraska AIDS Project (NAP),"2027 Dodge Street, Ste 4","Omaha, NE 68102",41.259454,-95.943515
Part B Subrecipient,North Iowa Community Action Organization (NICAO),"100 1st Street NW, Ste 200","Mason City, IA 50401",43.153117,-93.203103
Part B Subrecipient,River Hills Community Health Center (RHCHC),201 S. Market Street,"Ottumwa, IA 52501",41.016926,-92.41218
Part B Subrecipient,Siouxland Community Health Center (SCHC),1021 Nebraska Street,"Sioux City, IA 51105",42.501087,-96.40454
Part B Subrecipient,The Project of Primary Health Center (PHC),1200 University Ave. Ste 120,"Des Moines, IA 50314",41.600135,-93.63313
Part B Subrecipient,The Project of the Quad Cities (TPQC),4101 John Deere Rd. ,"Moline, IL 61265",41.471176,-90.473465
Part B Subrecipient,University of Iowa Health Care (UIHC),200 Hawkins Dr. SW34-GH,"Iowa City, IA 52242",41.6629,-91.551
Part C Clinic,Genesis Health Group GHG Infectious Disease (Genesis),1351 W. Central Park Ave.,"Davenport, IA ",41.543693,-90.59374
Part C Clinic,The Project of Primary Health Center (PHC),1200 University Ave. Ste 120,"Des Moines, IA 50314",41.600135,-93.63313
Part C Clinic,Siouxland Community Health Center (SCHC),1021 Nebraska St. ,"Sioux City, IA 51105",42.501087,-96.40454
Part C Clinic,University of Iowa Health Care (UIHC),200 Hawkins Dr. SW34-GH,"Iowa City, IA 52242",41.6629,-91.551
Part C Clinic,University of Nebraska Medical Center (UNMC),42nd and Emile Streets,"Omaha, NE 68198",41.2542134,-95.9757825
